Title,status,difficulty,frequency,tags,link
Pairs of Songs With Total Durations Divisible by 60,TO_DO,MEDIUM,42.4,Array; Hash Table; Counting,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/
Lowest Common Ancestor of a Binary Tree IV,SOLVED,MEDIUM,42.4,Hash Table; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/
Integer to Roman,TO_DO,MEDIUM,37.2,Hash Table; Math; String,https://leetcode.com/problems/integer-to-roman/
Jump Game II,SOLVED,MEDIUM,37.2,Array; Dynamic Programming; Greedy,https://leetcode.com/problems/jump-game-ii/
Merge Sorted Array,SOLVED,EASY,37.2,Array; Two Pointers; Sorting,https://leetcode.com/problems/merge-sorted-array/
Nth Highest Salary,TO_DO,MEDIUM,37.2,Database,https://leetcode.com/problems/nth-highest-salary/
Maximum Number of Occurrences of a Substring,TO_DO,MEDIUM,37.2,Hash Table; String; Sliding Window,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/
Last Day Where You Can Still Cross,ATTEMPTED,HARD,37.2,Array; Binary Search; Depth-First Search; Breadth-First Search; Union Find; Matrix,https://leetcode.com/problems/last-day-where-you-can-still-cross/
Container With Most Water,SOLVED,MEDIUM,30.1,Array; Two Pointers; Greedy,https://leetcode.com/problems/container-with-most-water/
3Sum,TO_DO,MEDIUM,30.1,Array; Two Pointers; Sorting,https://leetcode.com/problems/3sum/
Find First and Last Position of Element in Sorted Array,SOLVED,MEDIUM,30.1,Array; Binary Search,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Trapping Rain Water,SOLVED,HARD,30.1,Array; Two Pointers; Dynamic Programming; Stack; Monotonic Stack,https://leetcode.com/problems/trapping-rain-water/
Maximum Subarray,SOLVED,MEDIUM,30.1,Array; Divide and Conquer; Dynamic Programming,https://leetcode.com/problems/maximum-subarray/
LRU Cache,SOLVED,MEDIUM,30.1,Hash Table; Linked List; Design; Doubly-Linked List,https://leetcode.com/problems/lru-cache/
Design Add and Search Words Data Structure,TO_DO,MEDIUM,30.1,String; Depth-First Search; Design; Trie,https://leetcode.com/problems/design-add-and-search-words-data-structure/
Valid Anagram,SOLVED,EASY,30.1,Hash Table; String; Sorting,https://leetcode.com/problems/valid-anagram/
Design Tic-Tac-Toe,TO_DO,MEDIUM,30.1,Array; Hash Table; Design; Matrix; Simulation,https://leetcode.com/problems/design-tic-tac-toe/
Design Hit Counter,TO_DO,MEDIUM,30.1,Array; Binary Search; Design; Queue; Data Stream,https://leetcode.com/problems/design-hit-counter/
Single Element in a Sorted Array,SOLVED,MEDIUM,30.1,Array; Binary Search,https://leetcode.com/problems/single-element-in-a-sorted-array/
Find K Closest Elements,TO_DO,MEDIUM,30.1,Array; Two Pointers; Binary Search; Sliding Window; Sorting; Heap (Priority Queue),https://leetcode.com/problems/find-k-closest-elements/
Kth Largest Element in a Stream,TO_DO,EASY,30.1,Tree; Design; Binary Search Tree; Heap (Priority Queue); Binary Tree; Data Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/
Boats to Save People,TO_DO,MEDIUM,30.1,Array; Two Pointers; Greedy; Sorting,https://leetcode.com/problems/boats-to-save-people/
Find Words That Can Be Formed by Characters,TO_DO,EASY,30.1,Array; Hash Table; String; Counting,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/
Count Vowels Permutation,TO_DO,HARD,30.1,Dynamic Programming,https://leetcode.com/problems/count-vowels-permutation/
Search Suggestions System,TO_DO,MEDIUM,30.1,Array; String; Binary Search; Trie; Sorting; Heap (Priority Queue),https://leetcode.com/problems/search-suggestions-system/
Crawler Log Folder,TO_DO,EASY,30.1,Array; String; Stack,https://leetcode.com/problems/crawler-log-folder/
Lowest Common Ancestor of a Binary Tree III,SOLVED,MEDIUM,30.1,Hash Table; Two Pointers; Tree; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/
Maximum Path Quality of a Graph,TO_DO,HARD,30.1,Array; Backtracking; Graph,https://leetcode.com/problems/maximum-path-quality-of-a-graph/
Add Two Integers,SOLVED,EASY,30.1,Math,https://leetcode.com/problems/add-two-integers/
Design a Food Rating System,TO_DO,MEDIUM,30.1,Array; Hash Table; String; Design; Heap (Priority Queue); Ordered Set,https://leetcode.com/problems/design-a-food-rating-system/
Count Palindromic Subsequences,TO_DO,HARD,30.1,String; Dynamic Programming,https://leetcode.com/problems/count-palindromic-subsequences/
Count Vowel Strings in Ranges,TO_DO,MEDIUM,30.1,Array; String; Prefix Sum,https://leetcode.com/problems/count-vowel-strings-in-ranges/
